,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
0,40.647490000000005,-73.97237,149,1,9,365,0,1,0,0,0,0,1,0
1,40.75362,-73.98376999999999,225,1,45,355,0,0,1,0,0,1,0,0
2,40.809020000000004,-73.9419,150,3,0,365,0,0,1,0,0,0,1,0
3,40.685140000000004,-73.95976,89,1,270,194,0,1,0,0,0,1,0,0
4,40.79851,-73.94399,80,10,9,0,0,0,1,0,0,1,0,0
5,40.74767,-73.975,200,3,74,129,0,0,1,0,0,1,0,0
6,40.68688,-73.95596,60,45,49,0,0,1,0,0,0,0,1,0
7,40.76489,-73.98493,79,2,430,220,0,0,1,0,0,0,1,0
8,40.80178,-73.96723,79,2,118,0,0,0,1,0,0,0,1,0
9,40.713440000000006,-73.99037,150,1,160,188,0,0,1,0,0,1,0,0
10,40.80316,-73.96545,135,5,53,6,0,0,1,0,0,1,0,0
11,40.76076,-73.98867,85,2,188,39,0,0,1,0,0,0,1,0
12,40.66829,-73.98779,89,4,167,314,0,1,0,0,0,0,1,0
13,40.79826,-73.96113000000001,85,2,113,333,0,0,1,0,0,0,1,0
14,40.7353,-74.00525,120,90,27,0,0,0,1,0,0,1,0,0
15,40.70837,-73.95352,140,2,148,46,0,1,0,0,0,1,0,0
16,40.69169,-73.97185,215,2,198,321,0,1,0,0,0,1,0,0
17,40.74192,-73.99501,140,1,260,12,0,0,1,0,0,0,1,0
18,40.67592,-73.94694,99,3,53,21,0,1,0,0,0,1,0,0
19,40.79685,-73.94872,190,7,0,249,0,0,1,0,0,1,0,0
20,40.71842,-73.95718000000001,299,3,9,0,0,1,0,0,0,1,0,0
21,40.680690000000006,-73.97706,130,2,130,347,0,1,0,0,0,0,1,0
22,40.67989,-73.97798,80,1,39,364,0,1,0,0,0,0,1,0
23,40.680009999999996,-73.97865,110,2,71,304,0,1,0,0,0,0,1,0
